checkpoint,noise,n_samples,mean_seq_recovery
v_48_002,0.0,240,0.4285358333333336
v_48_002,0.2,240,0.24969583333333334
v_48_002,0.3,240,0.1896779166666667
v_48_002,0.4,240,0.15696041666666677
v_48_002,0.5,240,0.13739874999999993
v_48_010,0.0,240,0.4252925000000003
v_48_010,0.2,240,0.36395875000000033
v_48_010,0.3,240,0.29243541666666684
v_48_010,0.4,240,0.23496750000000008
v_48_010,0.5,240,0.19815208333333345
